#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
alsa-plugins,"includes a plugin for JACK"
alsa-utils,"is an audio interface for ALSA."
aspell,"is a spell checker"
aspell-en,"is an english dictionary for aspell"
atool,"manages and gives information about archives."
base,"is a minimal package set to define a basic Arch Linux installation"
base-devel,"contains tools required to build many packages"
bind-tools,"are the ISC DNS tools"
clang,"is a C language family frontend for LLVM often used for linting"
cmake,"is a cross-platform open-source make system"
cscope,"is a developers tool for browsing program code"
curl,"is A URL retrieval utility and library"
firefox,"is a web browser"
git,"is version control software."
iw,"is a CLI configuration utility for wireless devices"
jack2,"is a low-latency audio server"
ledger,"is a plain text accounting tool"
libvterm,"is a library for virtual terminals"
man-db,"is a utility for reading man pages"
man-pages,"are the Linux man pages"
mpc,"is a terminal interface for mpd."
mpd,"is a lightweight music daemon."
mpv,"is the patrician's choice video player."
opendoas,"allows you to run commands as super user or another user"
pass,"Stores, retrieves, generates, and synchronizes passwords securely"
picom,"is an X compositor that may fix tearing issues"
plantuml,"allows you to quickly write uml diagrams"
poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
pulseaudio,"is a featureful, general-purpose sound server"
pulseaudio-alsa,"is an ALSA Configuration for PulseAudio"
pulseaudio-jack,"adds Jack support for PulseAudio"
pulsemixer,"is a CLI and curses mixer for pulseaudio"
shellcheck,"checks shell files for correctness"
slock,"allows you to lock your computer, and quickly unlock with your password."
syncthing,"is a filesyncing utility"
texinfo,"is the GNU documentation system"
transmission-cli,"is a fast, easy, and free BitTorrent client"
unrar,"extracts rar's."
unzip,"unzips zips."
usbutils,"has some USB utilies like lsusb"
wget,"is a network utility to retrieve files from the Web"
wpa_supplicant,"is a utility providing key negotiation for WPA wireless networks"
xclip,"allows for copying and pasting from the command line."
xdg-user-dirs,"Manages user directories like ~/Desktop and ~/Music"
xdg-utils,"are command line tools that assist applications with a variety of desktop integration tasks"
xdotool,"provides window action utilities on the command line."
xorg-server,"is the graphical server."
xorg-xbacklight,"enables changing screen brightness levels."
xorg-xinit,"starts the graphical server."
youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
zathura,"is a pdf viewer with vim-like bindings."
zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
zip,"is a compressor/archiver for creating and modifying zipfiles"
